name,layer,original_spec,current_spec,status,evidence_level,birth_context,wire_assumption,topology_assumption,addressing_model,discovery_model,trust_model,state_model,failure_model,bandwidth_assumption,middlebox_assumption,death_pressure,surviving_descendants
RARP,link/network,RFC 903,RFC 903,historic,fixture,boot without IP,LAN broadcast,flat LAN,hardware-to-IP,broadcast,local trust,transaction,timeout,low bandwidth,none,non-routable discovery,DHCP/ARP
BOOTP,application,RFC 951,RFC 951,historic,fixture,diskless workstation,UDP/IP available,LAN relay,assigned address,relay/broadcast,server trust,transaction,timeout,low bandwidth,relay agents,static boot config,DHCP
DHCP,application,RFC 2131,RFC 2131,alive,evidence-fixture,address autoconfiguration,UDP broadcast/relay,managed LAN,lease,server/relay,stateful lease,renew/rebind,server failure,low client cost,relay/firewall,unauthenticated bootstrap,DHCPv6/802.1X
TFTP,application,RFC 1350,RFC 1350,legacy,fixture,boot file transfer,UDP datagrams,small LAN,server address,BOOTP/DHCP,server trust,lock-step blocks,timeout,reduced code footprint,firewall/NAT,weak security,HTTP boot
SLIP,link,RFC 1055,RFC 1055,historic,fixture,serial modem IP,framing only,point-to-point,preconfigured,none,link trust,byte stream,serial loss,very low bandwidth,none,missing negotiation,PPP
CSLIP,link,RFC 1144,RFC 1144,historic,static,slow serial TCP,header compression,point-to-point,preconfigured,none,link trust,compression state,loss desync,very low bandwidth,none,state loss,PPP compression
PPP,link,RFC 1661,RFC 1661,legacy,fixture,modem/leased line,HDLC-like framing,point-to-point,negotiated,LCP/NCP,configurable auth,finite state,LCP timeout,low bandwidth,link negotiation,access broadband,PPPoE/L2TP
RIP,control,RFC 1058,RFC 2453,legacy,fixture,small AS,periodic distance vector,LAN/WAN,network prefixes,neighbor updates,weak neighbor trust,periodic,metric infinity,low bandwidth,UDP/filters,count-to-infinity,OSPF/BGP
EGP,control,RFC 904,RFC 904,historic,document-reconstruction,early AS interconnection,reachability exchange,core gateways,network prefixes,neighbor acquisition,managed trust,session,unreachable,low bandwidth,protocol gateways,scalability,BGP
ICMP Source Quench,network,RFC 792,RFC 6633,deprecated,document-reconstruction,congestion feedback,control message,IP network,IP addresses,implicit ICMP,stateless,ignored/disabled,congestion,low overhead,spoofable,ineffective feedback,ECN
NetBIOS/NBNS,application,RFC 1001/RFC 1002,RFC 1001/RFC 1002,historic,fixture,PC LAN discovery,broadcast/name service,office LAN,names,NBNS broadcast/WINS,local trust,session/datagram,name collision,low bandwidth,broadcast barriers,routable IP/DNS,SMB/DNS
6to4,transition,RFC 3056,RFC 7526,historic,static,IPv6 over IPv4,protocol 41,IPv4 Internet,embedded IPv4,anycast relay,relay trust,tunnel,relay failure,IPv4 availability,NAT,high failure rate,native IPv6
Teredo,transition,RFC 4380,RFC 6934,historic,static,NAT traversal,UDP encapsulation,public relay,derived address,server/relay,relay trust,tunnel,keepalive,low deployment cost,UDP middleboxes,operational complexity,NAT64
NCP,pre-IP,RFC 714,documentary,historic,document-reconstruction,ARPANET host/IMP,host-host control,IMP network,host/socket,manual/host control,network managed,connection,IMP failure,expensive links,IMP boundary,limited interconnectivity,TCP/IP
rlogin,application,RFC 1282,RFC 1282,historic,static,Unix trusted hosts,byte stream,LAN/WAN,host/user names,.rhosts/trusted host,host trust,session,connection reset,moderate bandwidth,firewall,credential bypass,SSH
IGMP,multicast,RFC 1112/RFC 2236,RFC 3376,alive/specialized,fixture,host group membership,IP multicast,LAN+routed multicast,group addresses,IGMP reports,network control trust,soft state,query timeout,shared distribution,multicast support,operational complexity,CDN/application multicast
